epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.087,1.97406,4.83331,1.51878,0.0028,0.7125,0.15146,0.07391,1.34432,3.62206,1.08276,0.00035007,0.00035007,0.00035007
2,325.675,1.63848,3.13546,1.32291,0.00273,0.5,0.16744,0.05353,1.31225,3.44678,1.08944,0.000709714,0.000709714,0.000709714
3,328.195,1.58666,2.74312,1.28733,0.87804,0.05,0.14274,0.05998,1.46532,3.04716,1.23347,0.0010621,0.0010621,0.0010621
4,330.688,1.49618,2.39789,1.25296,0.89259,0.22855,0.31068,0.20397,1.39777,2.30465,1.21089,0.00140722,0.00140722,0.00140722
5,333.246,1.47612,2.27083,1.23166,0.40429,0.3697,0.4597,0.28086,1.41917,1.78865,1.20838,0.00160099,0.00160099,0.00160099
6,335.722,1.45684,2.08613,1.25268,0.38443,0.50334,0.40143,0.22552,1.62368,1.67293,1.30478,0.00158448,0.00158448,0.00158448
7,338.188,1.4786,1.9823,1.29638,0.36756,0.36909,0.37362,0.21119,1.64822,2.01894,1.2902,0.00156798,0.00156798,0.00156798
8,340.681,1.46187,1.83452,1.27603,0.46493,0.625,0.5423,0.29113,1.62947,1.41132,1.30787,0.00155148,0.00155148,0.00155148
9,343.149,1.39289,1.69157,1.2214,0.43055,0.575,0.50024,0.27678,1.54341,1.2924,1.26101,0.00153497,0.00153497,0.00153497
10,345.633,1.40522,1.62201,1.22189,0.51106,0.61953,0.4919,0.2638,1.48442,1.32877,1.17079,0.00151847,0.00151847,0.00151847
11,348.089,1.37508,1.57786,1.20589,0.5234,0.45664,0.39603,0.23021,1.49408,1.75701,1.22746,0.00150197,0.00150197,0.00150197
12,350.564,1.36436,1.44524,1.1681,0.67993,0.47886,0.58348,0.34475,1.43871,1.32421,1.19067,0.00148546,0.00148546,0.00148546
13,353.031,1.36204,1.39469,1.16753,0.68078,0.50622,0.64089,0.40232,1.48115,1.31465,1.28276,0.00146896,0.00146896,0.00146896
14,355.495,1.34001,1.33878,1.227,0.7108,0.51011,0.54601,0.31512,1.54022,1.24077,1.26947,0.00145246,0.00145246,0.00145246
15,357.946,1.31058,1.22059,1.19024,0.65868,0.5375,0.58963,0.29803,1.70605,1.18175,1.37007,0.00143595,0.00143595,0.00143595
16,360.504,1.29935,1.18892,1.14768,0.45865,0.3625,0.43854,0.22449,1.60172,1.27143,1.30798,0.00141945,0.00141945,0.00141945
17,362.956,1.24696,1.12622,1.12841,0.86917,0.525,0.6601,0.36446,1.58227,1.10269,1.24036,0.00140295,0.00140295,0.00140295
18,365.415,1.22597,1.09263,1.13334,0.77141,0.57429,0.62251,0.3737,1.42244,1.12796,1.17162,0.00138644,0.00138644,0.00138644
19,367.872,1.14975,1.01586,1.09934,0.62829,0.6375,0.62292,0.35398,1.55832,1.11173,1.23323,0.00136994,0.00136994,0.00136994
20,370.329,1.18603,1.04097,1.10947,0.4802,0.6125,0.50867,0.29748,1.51357,1.38498,1.23705,0.00135344,0.00135344,0.00135344
21,372.788,1.15973,0.92998,1.07402,0.43058,0.63382,0.52306,0.32338,1.46453,1.11906,1.20528,0.00133693,0.00133693,0.00133693
22,375.243,1.18964,0.98215,1.10196,0.49321,0.62788,0.54618,0.35561,1.46235,1.04387,1.19588,0.00132043,0.00132043,0.00132043
